movie_id,review
38,찢어질듯한 길고 높은 경적소리 씬이 끝날때까지 울리는 높고 긴 경보음소리 재즈연주마지막 길고 높은 악기 소리 소리 지르며 넌 될꺼야 왜 밖에 기억이 안나는 남주 오디션만보다 1인극으로 갑자기 캐스팅되어 성공하는 여주 공감안가는영화
38,너무너무 아름답고 재미있었어요
38,시간 아깝고 돈 아까운 영화 자 알 봤습니다
38,이번엔 감정이 폭발하듯 차오른다
38,진짜 졸렸다픠픠픺
38,꿈과 사랑과 열정이 있기에 제겐 이 영화가 인생영화가 되었습니다 섬세한 배우들의 감정연기와 탭댄스와 노래실력 또 연출력이 대단한 영화라고 생각합니다
38,최고임 시작부터 끝까지
38,어마어마한 영화네요 오래 기억에 남을것 같아요 특히 앤딩이 좋았어요
38,영상미 음악 등등 모든게 완벽
38,너무 재밌었어요 너무너무
38,좋아요 특히 가깝고 깨끗해서 좋아요
38,극장가서 꼭 보시길 추천
38,500일의 썸머와 지금은 맞고 그때는 틀리다 가 생각나는 동화 같은 영화
38,사람마다 누구나 간직하고 있는 열정과 꿈에 대해 잔잔한 감동을 불러일으키는 영화였습니다
38,벌써 두번봤네요 세번볼듯
38,스토리보다는 미장센이 완전 굿 안예쁜 장면이 없네
